,released,NEED RE,order #,PO #,quantity,thick,width,length,grade,mill,frt,Total,,,,
,,,,,12,2,6,104,2,353,87,440,,,,
,,,,,1,2,6,8,2,233,87,320,,,,
,,,,,1,2,6,10,2,233,87,320,,,,
,,,,,4,2,6,12,12,238,87,325,,,,
GC YULEE 6-24,,,65089,4047031,21,2,6,104,2,350,33,383,,,,
GC YULEE 6-24,,,65090,4047032,21,2,6,104,2,350,33,383,,,,
GC YULEE 6-24,,,65091,4047033,21,2,6,104,2,350,33,383,,,,
GC YULEE 6-24,,,65092,4047034,21,2,6,104,2,350,33,383,,,,
GC YULEE 6-24,,,65093,4047035,21,2,6,104,2,350,33,383,,,,
GC YULEE 6-24,,,65094,4047036,21,2,6,104,2,350,33,383,,,,
GC YULEE 7-1,,,65095,4047037,21,2,6,104,2,350,33,383,,,,
GC YULEE 7-1,,,65096,4047038,21,2,6,104,2,350,33,383,,,,
GC YULEE 7-1,,,65097,4047039,21,2,6,104,2,350,33,383,,,,
GSWP,,,65110,1299190206,15,2,6,12,2p,,,,,,,
GSWP JUNE ABBE,13-Jun,,65099,4665190106,22,2,4,8,2P,,,,,,,
GSWP JUNE ABBE,13-Jun,,65100,4665190216,5,2,4,8,2P,,,,,,,
,,,,,5,2,4,10,2P,,,,,,,
,,,,,8,2,4,12,2P,,,,,,,
GSWP JUNE ABBE,,,65101,4665190316,4,2,6,8,2P,,,,,,,
,,,,,6,2,6,10,2P,,,,,,,
,,,,,8,2,6,12,2P,,,,,,,
GSWP JUNE ABBE,28-Jun,,65102,4665190317,4,2,6,8,2P,,,,,,,
,,,,,6,2,6,10,2P,,,,,,,
,,,,,8,2,6,12,2P,,,,,,,
GSWP JUNE ABBE,28-Jun,,65103,4665190318,4,2,6,8,2P,,,,,,,
,,,,,6,2,6,10,2P,,,,,,,
,,,,,8,2,6,12,2P,,,,,,,
GSWP JUNE ABBE,6-Jun,,65104,4665190411,4,2,4,8,2p,,,,,,,
,,,,,6,2,6,8,2p,,,,,,,
,,,,,5,2,6,10,2p,,,,,,,
,,,,,5,2,6,12,2p,,,,,,,
GSWP JUNE ABBE,,,65105,4665190412,4,2,4,8,2p,,,,,,,
,,,,,6,2,6,8,2p,,,,,,,
,,,,,5,2,6,10,2p,,,,,,,
,,,,,5,2,6,12,2p,,,,,,,
GSWP FLORIDA JUNE,,,65106,4665190506,8,2,4,10,2p,,,,,,,
,,,,,8,2,4,12,2p,,,,,,,
GSWP FLORIDA JUNE,,,65107,4665190616,9,2,6,10,2P,,,,,,,
,,,,,9,2,6,12,2P,,,,,,,
GSWP FLORIDA JUNE,,,65108,4665190617,9,2,6,10,2P,,,,,,,
,,,,,9,2,6,12,2P,,,,,,,
GSWP FLORIDA JUNE,,,65109,4665190618,9,2,6,10,2P,,,,,,,
,,,,,9,2,6,12,2P,,,,,,,
UFPI MARK,5-Jun,,65111,22265778,21,2,6,104,2,350,33,383,,,,
UFPI MARK,5-Jun,,65112,22265781,21,2,6,104,2,350,33,383,,,,
UFPI MARK,5-Jun,,65113,22265782,21,2,6,104,2,350,33,383,,,,
SUN JUNE,6-Jun,,65115,6060806,30,2,6,12,2PH,,,,,,,
SUN JUNE,6-Jun,,65116,6060906,30,2,6,12,2PH,,,,,,,
SUN JUNE,6-Jun,,65117,6061006,30,2,6,12,2PH,,,,,,,
SUN JUNE,19-Jun,,65118,6060506,46,2,6,8,2ph,,,,,,,
SUN JUNE,,,65119,6060606,46,2,6,8,2ph,,,,,,,
SUN JUNE,,,65120,6060706,46,2,6,8,2ph,,,,,,,
SUN JUNE,,,65326,6084606,18,2,6,10,2ph,,,,,,,
SUN JUNE,,,65330,6084706,18,2,6,10,2ph,,,,,,,
SUNBELT,shipped on 65115,,65332,6060806,30,2,6,12,2p,,,,,,,
SUNBELT,shipped on 65116,,65333,6060906,30,2,6,12,2p,,,,,,,
SUNBELT,shipped on 65117,,65334,6061006,30,2,6,12,2p,,,,,,,
CHEROKEE GRAY,,,7548,295-27,11,2,6,104,2,350,,,,,,
,,,,,11,2,4,104,2,400,,,,,,
CHEROKEE GRAY,,,7549,295-28,21,2,6,104,2,350,,,,,,
CHEROKEE GRAY,,,7550,295-29,21,2,6,104,2,350,,,,,,
CHEROKEE GRAY,,,7551,295-30,21,2,6,104,2,350,,,,,,
CHEROKEE GRAY,,,7552,295-31,21,2,6,104,2,350,,,,,,
CHEROKEE GRAY,,,7553,295-32,21,2,6,104,2,350,,,,,,
CHEROKEE GRAY,,,7554,295-33,21,2,6,104,2,350,,,,,,
CHEROKEE GRAY,,,7555,295-34,21,2,6,104,2,350,,,,,,
CHEROKEE GRAY,,,7556,295-35,21,2,6,104,2,350,,,,,,
CHEROKEE GRAY,,,7557,295-36,21,2,6,104,2,350,,,,,,
CHEROKEE GRAY,,,7558,295-37,21,2,6,104,2,350,,,,,,
CHEROKEE GRAY,,,7559,295-38,21,2,6,104,2,350,,,,,,
CHEROKEE GRAY,,,7560,295-39,21,2,6,104,2,350,,,,,,
CHEROKEE GRAY,,7561,7561,295-40,21,2,6,104,2,350,,,,,,
CHEROKEE GRAY,,7562,68021,295-41,21,2,6,104,2,350,,,,,,
CHEROKEE GRAY,,,68309,295-42,21,2,6,104,2,350,,,,,,
CHEROKEE GRAY,,,68417,295-43,21,2,6,104,2,350,,,,,,
CHEROKEE GRAY,,,7566,295-44,21,2,6,104,2,350,,,,,,
CHEROKEE GRAY,,,7567,295-45,21,2,6,104,2,350,,,,,,
CHEROKEE GRAY,,,7568,295-46,21,2,6,104,2,350,,,,,,
CHEROKEE GRAY,,,7569,295-47,21,2,6,104,2,350,,,,,,
CHEROKEE GRAY,,,7570,295-48,21,2,6,104,2,350,,,,,,
CHEROKEE GRAY 9-30,,,7571,295-20,11,2,4,104,2,400,,,,,,
,,,,,11,2,6,104,2,350,,,,,,
CHEROKEE GRAY,,,7572,295-21,20,2,4,104,2,400,,,,,,
CHEROKEE GRAY,,,7573,295-22,20,2,4,104,2,400,,,,,,
CHEROKEE GRAY,,,7574,295-23,20,2,4,104,2,400,,,,,,
CHEROKEE GRAY,,,7575,295-24,20,2,4,104,2,400,,,,,,
CHEROKEE GRAY,,,7576,295-25,20,2,4,104,2,400,,,,,,
CHEROKEE GRAY,,,7577,295-26,20,2,4,104,2,400,,,,,,
BUILDERS FIRST ,,,65121,27949956,15,2,6,123-1/2,2,280,47,327,,,,
BUILDERS FIRST ,,,65122,27949957,23,2,6,93,2,275,47,322,,,,
BUILDERS FIRST ,,,65124,27949958,3,2,6,123-1/2,2,280,47,327,,,,
,,,,,12,2,6,93,2,275,47,322,,,,
,,,,,4,2,4,12,3,310,47,357,,,,
MILLING,7-Jun,,65127,,12,2,6,10,4,,,,,,,
,,,,,6,2,6,10,3,,,,,,,
VIKING,,,65133,78007,15,2,6,12,2P,225,,,,,,
VIKING,,,65134,78008,15,2,6,12,2P,225,,,,,,
VIKING,,,65135,78009,15,2,6,12,2P,225,,,,,,
VIKING,,,65136,78010,15,2,6,12,2P,225,,,,,,
VIKING,,,65137,78011,15,2,6,12,2P,225,,,,,,
VIKING,,,65138,78012,15,2,6,12,2P,225,,,,,,
BRIDGE THOMAS,,,65139,858488,18,2,6,114-3/4,,255,40,295,,,,
MILLING,10-Jun,,65140,126374,8,2,4,10,4,,,,,,,
,,,,,3,2,4,10,KW,,,,,,,
,,,,,5,2,4,12,4,,,,,,,
MILLING,10-Jun,,65141,126375,5,2,4,12,4,,,,,,,
,,,,,2,2,4,12,KW,,,,,,,
,,,,,1,2,4,8,KW,,,,,,,
,,,,,10,2,4,8,4,,,,,,,
MILLING,10-Jun,,65142,126376,23,2,6,8,3,,,,,,,
GSWP,10-Jun,,65143,859761,25,2,6,92.5,2,250,,,,,,
GSWP,,,65144,859754,3,2,6,116,2,275,,,,,,
,,,,,4,2,4,116,2,360,,,,,,
,,,,,14,2,4,92.5,2,365,,,,,,
GSWP,12-Jun,,65145,859764,9,2,4,92.5,2,360,,,,,,
,,,,,9,2,6,12,2P,245,,,,,,
TAMPA ,,,65146,75182,15,2,6,12,2p,235,,,,,,
TAMPA ,,,65147,75183,15,2,6,12,2p,235,,,,,,
TAMPA ,,,65148,75184,15,2,6,12,2p,235,,,,,,
TAMPA ,,,65149,75185,15,2,6,12,2p,235,,,,,,
Boise Pensacola late 3rd week Sept,,,65153,MT62721,20,2,4,104,2,463,22,485,,,,
Boise Pensacola late 3rd week Sept,,,65154,MT62722,20,2,4,104,2,463,22,485,,,,
Boise Pensacola late 3rd week Sept,,,65155,MT62723,20,2,4,104,2,463,22,485,,,,
Boise Pensacola late 3rd week Sept,,,65156,MT62724,20,2,4,104,2,463,22,485,,,,
Boise Pensacola late 3rd week Sept,2-Dec,,65157,MT62725,20,2,4,104,2,463,22,485,,,,
Boise Pensacola late 3rd week Sept,5-Dec,,65158,MT62726,20,2,4,104,2,463,22,485,,,,
Boise Pensacola late 3rd week Sept,18-Dec,,65159,MT62727,20,2,4,104,2,463,22,485,,,,
Boise Pensacola late 3rd week Sept,,,65160,MT62728,20,2,4,104,2,463,22,485,,,,
Boise Pensacola late 3rd week Sept,,,65161,MT62729,20,2,4,104,2,463,22,485,,,,
Boise Pensacola late 3rd week Sept,,,65162,MT62730,21,2,6,104,2,408,22,430,,,,
CHEROKEE WARNER ,12-Jun,,65150,336-17,14,2,4,12,2,327,28,355,,,,
IDAPAC ESTERO,14-Jun,,65169,22443089-032,21,2,6,104,2,360,60,420,,,,
IDAPAC ESTERO,14-Jun,,65170,22443090-032,21,2,6,104,2,360,60,420,,,,
IDAPAC ESTERO,,,65171,22443709-032,21,2,6,104,2,360,60,420,,,,
TAMPA ,11-Jun,,65166,75215,15,2,6,12,1,235,,,,,,
TAMPA ,12-Jun,,65167,75214,22,2,4,8,2,315,,,,,,
BI,11-Jun,,65168,46414,22,2,4,8,2,305,,,,,,
MILLING,11-Jun,,65164,126532,6,2,4,10,4,,,,,,,
,,,,,4,2,4,10,KW,,,,,,,
,,,,,5,2,4,12,4,,,,,,,
,,,,,1,2,4,8,4,,,,,,,
DOUBLE G ,11-Jun,,65151,59586,14,2,4,12,2,,,,,,,
DOUBLE G ,,,65152,59587,20,2,4,104,2,,,,,,,
BFS PEN,11-Jun,,65173,27845348,20,2,4,104,2,438,22,460,,,,
BFS PEN,13-Jun,,65174,27845349,20,2,4,104,2,438,22,460,,,,
BFS PEN,,,65175,27845350,20,2,4,104,2,424,36,460,,,,
BFS PEN,11-Jun,,65172,27845351,17,2,4,116,2,363,22,385,,,,
TAMPA ,11-Jun,,65176,75269,15,2,6,12,2P,245,,,,,,
TAMPA ,11-Jun,,65177,75270,15,2,6,12,2P,245,,,,,,
TAMPA ,11-Jun,,65178,75271,15,2,6,12,2P,245,,,,,,
TAMPA ,11-Jun,,65179,75268,15,2,6,12,2P,245,,,,,,
CHEROKEE PEN BAGGED AUG,,,65180,341-17,7,2,4,12,2,388,22,410,,,,
split with 65183,,,,,8,2,6,12,2,298,22,,,,,
CHEROKEE PEN BAGGED AUG,6-Dec,,65181,341-18,14,2,4,12,2,388,22,410,,,,
CHEROKEE PEN BAGGED AUG,This will pick up at west fraz in McDavid Monday ricky 341-19,,65182,341-19,14,2,4,12,2,395,15,410,,,,
CHEROKEE PEN BAGGED AUG,,,65183,341-20,3,2,6,12,2,298,22,320,,,,
,,,,,11,2,4,12,2,388,22,410,,,,
CHEROKEE PEN BAGGED AUG,,,65184,341-21,15,2,6,12,2,298,22,320,,,,
CHEROKEE PEN BAGGED AUG,21-Nov,,65185,341-22,15,2,6,12,2,298,22,320,,,,
CLARK,17-Jun,,65229,19862,25,2,4,7,2,330,,,,,,
CLARK,18-Jun,,65230,19863,25,2,4,7,2,330,,,,,,
TAMPA ,12-Jun,,65200,75339,15,2,6,12,2p,250,,,,,,
TAMPA ,12-Jun,,65201,75340,15,2,6,12,2p,250,,,,,,
WOODFORD,12-Jun,,65197,03-087535,19,2,6,104,2,370,,,,,,
,,,,frank ,208,2,4,,rr,270,,,,,,
TAMPA,14-Jun,,65202,75503,22,2,4,8,2,315,20,335,,,,
TAMPA,24-Jun,,65203,75504,17,2,4,10,2,305,,,,,,
TAMPA,,,65204,75505,17,2,4,10,2,305,,,,,,
WOODLANDS BOB 50763,13-Jun,,65194,50946,17,2,4,10,2P,315,60,375,,,,
WOODLANDS BOB 50764,,,65195,50947,17,2,4,10,2P,315,60,375,,,,
VIKING ,12-Jun,,65198,78033,15,2,6,12,1,230,,,,,,
VIKING ,12-Jun,,65199,78034,15,2,6,12,1,230,240,,,,,
MILLING ,12-Jun,,65189,126533,20,2,6,9,4,,,,,,,
MILLING ,12-Jun,,65190,126534,17,2,4,10,4,,,,,,,
MILLING ,12-Jun,,65191,126535,20,2,4,9,4,,,,,,,
MILLING ,12-Jun,,65192,126536,18,2,6,10,3,,,,,,,
MILLING ,12-Jun,,65193,126537,23,2,6,8,3,,,,,,,
LUMBER ONE ,,,65196,23342,20,2,4,9,4,258,,,,,,
TAMPA,29-Jul,,65212,75546,14,2,4,12,2,335,,,,,,
UFPI,,,65205,22270965,4,2,4,104,2,440,,,,,,
,,,,,5,2,4,12,2,335,,,,,,
WOODLANDS,,,65206,50868,11,2,4,92.5,2,345,42,387,,,,
,,,,,10,2,4,104,2,435,42,477,,,,
UFPI BAGGED ,17-Jun,,65207,22257151,21,2,6,104,2,385,,,,,,
UFPI BAGGED ,,,65208,22257152,21,2,6,104,2,385,,,,,,
UFPI BAGGED ,,,65209,22257153,21,2,6,104,2,385,,,,,,
SHERWOOD BAGGED,,,65213,35886,14,2,4,12,2,335,,,,,,
SHERWOOD BAGGED,6-Aug,,65214,35887,14,2,4,12,2,335,,,,,,
SHERWOOD BAGGED,27-Jun,,65215,35888,15,2,6,12,2,245,,,,,,
SHERWOOD BAGGED,,,65216,35889,15,2,6,12,2,245,,,,,,
TIMBERLINE ,,,65211,8053,22,2,4,92.5,2,,,,,,,
BFS CHARLESTON,,,65217,27976213,20,2,4,98-3/4,2,430,50,480,,,,
BFS CHARLESTON,,,65218,27976217,5,2,4,107-1/2,2,430,50,480,,,,
,,,,,10,2,6,98-3/4,2,350,50,400,,,,
,,,,,5,2,6,107-1/2,2,350,50,400,,,,
BFS CHARLESTON,,,65219,27976221,8,2,4,98-3/4,2,430,50,480,,,,
,,,,,3-4,2,4,8,2,335,50,385,,,,
,,,,,3,2,4,10,2,305,50,355,,,,
,,,,,4,2,4,12,2,315,50,365,,,,
Tampa,19-Jun,,65132,75065,27,2,6,7,2,225,,,,,,
Sea,24-Jun,,65235,47570,15,2,6,12,1,265,,,,,,
BFS PEN,,,65231,27875352,20,2,6,104,2,328,22,350,,,,
BFS PEN,,,65232,27875353,20,2,6,104,2,328,22,350,,,,
BFS PEN,,,65233,27875354,20,2,6,104,2,328,22,350,,,,
BFS PEN,,,65234,27875355,20,2,6,104,2,328,22,350,,,,
sea ,,,65227,47529,17,2,4,10,3,255,,,,,,
sea ,17-Jun,,65226,47528,22,2,4,8,3,255,,,,,,
sea,24-Jun,,65225,47527,22,2,4,8,2,320,,,,,,
LUMBER ONE ,,,65223,23354,22,2,4,8,3,260,,,,,,
sea,26-Jun,,65224,47526,22,2,4,8,2,320,,,,,,
TAMPA,,,65220,75588,23,2,6,8,1,345,20,365,,,,
LUMBER ONE ,,,65221,ga23347,10,2,4,8,3,260,,,,,,
,,,,,10,2,4,9,4,258,,,,,,
CLARK 51698,21-Jun,,65259,19866,25,2,4,7,2,335,44,,,,,
CLARK 51699,26-Jun,,65260,19867,25,2,4,7,2,335,44,,,,,
TAMPA,,,7654,76000,23,2,6,85,2,280,,,,,,
eightyfour ,20-Jun,,65258,MJ42520,20,2,4,104,2,440,42,482,,,,
CLARK,,,65237,19865,15,2,6,12,4,180,44,,,,,
UFPI MARK,20-Jun,,65238,22273322,20,2,4,104,2,440,,,,,,
UFPI MARK,27-Jun,,65239,22273324,20,2,4,104,2,440,,,,,,
UFPI MARK,25-Jul,,65240,22273325,20,2,4,104,2,440,,,,,,
MILLING,,,65241,126538,22,2,4,8,4,,,,,,,
MILLING,,,65242,126539,17,2,4,10,4,,,,,,,
MILLING ,,,65243,126540,6,2,4,12,4,,,,,,,
,,,,,8,2,4,10,4,,,,,,,
,,,,,2,2,4,12,KW,,,,,,,
MILLING ,,,65244,126541,3,2,6,10,4,,,,,,,
,,,,,15,2,6,10,3,,,,,,,
MILLING,,,65245,126542,20,2,4,9,4,,,,,,,
UFPI MARK YULEE,18-Jun,,65246,22272965,20,2,6,104,2,357,33,390,,,,
UFPI MARK YULEE,,,65247,22272967,20,2,6,104,2,357,33,390,,,,
UFPI MARK YULEE,,,65248,22272968,20,2,6,104,2,357,33,390,,,,
BRIDGEWELL,18-Jun,,65249,859365,21,2,6,104,2,352,42,395,,,,
SEABOARD INTL,,,65250,47535,14,2,4,12,3,255,,297,,,,
SEABOARD INTL,18-Jun,,65251,47660,22,2,4,8,3,250,,,,,,
SEABOARD INTL,18-Jun,,65252,47661,22,2,4,8,3,250,33,,,,,
SEABOARD INTL,18-Jun,,65253,47662,22,2,4,8,3,250,,,,,,
SEABOARD INTL,18-Jun,,65254,47663,17,2,4,10,3,255,,301,,,,
SEABOARD INTL,18-Jun,,65255,47664,17,2,4,10,3,255,,301,,,,
GULF COAST SHELTER 7-15,,complete,65256,4047707,17,2,4,117,2,351,65,,,,,
BRIDGEWELL,19-Jun,,65261,859411,18,2,6,116-5/8,2,275,33,308,,,,
BRIDGEWELL PAPER WRAPPED 6-24,,,65262,859412,18,2,6,116-5/8,2,285,33,318,,,,
BRIDGEWELL PAPER WRAPPED 6-24,,,65263,859413,18,2,6,116-5/8,2,285,33,318,,,,
TAMPA,,,65264,76085,22,2,4,8,2,335,,,,,,
TAMPA,25-Jun,,65265,76086,22,2,4,8,2,335,,,,,,
TAMPA,,,65266,76087,23,2,6,8,2,240,,,,,,
TAMPA ocala ,28-Jun,,65267,76088,23,2,6,8,2,240,,,,,,
MARK PLACED 6-17 FOR AFTER 4TH,19-Aug,,65290,22269064,21,2,6,104,2,365,,,,,,
MARK PLACED 6-17 FOR AFTER 4TH,,,65291,22269065,21,2,6,104,2,365,,,,,,
RICHMOND,19-Jun,,65292,63099,22,2,4,8,3,255,,,,,,
RICHMOND,19-Jun,,65293,63100,17,2,4,10,3,260,,,,,,
SEABOARD INTL,19-Jun,,65316,47783,22,2,4,8,3,260,,306,,,,
SEABOARD INTL,19-Jun,,65317,47784,22,2,4,8,3,260,,,,,,
SHELTER CLERMONT,,,7642,1374391,20,2,4,104,2,417,70,487,,,,
SHELTER CLERMONT,,,65337,1374392,20,2,4,104,2,445,42,487,,,,
TAMPA INTL,,,65335,76229,17,2,4,10,3,265,,,,,,
TAMPA INTL,,,65336,76230,17,2,4,10,3,270,,,,,,
MILLING,19-Jun,,65327,126543,15,2,6,12,3,,,,,,,
MILLING,19-Jun,,65328,126544,23,2,6,8,3,,,,,,,
MILLING,19-Jun,,65329,126545,10,2,6,10,4,,,,,,,
,,,,,7,2,6,12,3,,,,,,,
MILLING,19-Jun,,65331,126546,5,2,4,8,KW,,,,,,,
,,,,,7,2,4,12,KW,,,,,,,
,,,,,5,2,4,10,KW,,,,,,,
ALLIED 16289DM,,,65343,771420,18,2,6,116,2,280,45,325,,,,
ALLIED 16289DM,,,65344,771421,18,2,6,116,2,280,45,325,,,,
ALLIED 16289DM,,,65345,771422,18,2,6,116,2,280,45,325,,,,
GC Academy,,,65268,4047910,20,2,4,104,2,440,42,482,,,,
GC Academy,19-Aug,,65269,4047911,20,2,4,104,2,440,42,482,,,,
GC Academy,27-Aug,,65270,4047912,20,2,4,104,2,440,42,482,,,,
GC Academy,27-Aug,65271,,4047913,20,2,4,104,2,440,42,482,,,,
GC Academy kiss,,65272,,4047914,20,2,4,104,2,440,42,482,,,,
GC Academy,,,65273,4047915,20,2,4,104,2,440,42,482,,,,
GC Academy,,,65274,4047916,20,2,4,104,2,440,42,482,,,,
GC Academy,,,65275,4047917,20,2,4,104,2,440,42,482,,,,
GC Academy,1-Oct,,65276,4047918,20,2,4,104,2,440,42,482,,,,
GC Academy,1-Oct,,65277,4047919,20,2,4,104,2,440,42,482,,,,
GC Academy,4-Oct,,65278,4047920,20,2,4,104,2,440,42,482,,,,
GC Academy,11-Oct,,65279,4047921,20,2,4,104,2,440,42,482,,,,
GC Academy,11-Oct,,65280,4047922,20,2,4,104,2,440,42,482,,,,
GC Academy,,,65281,4047923,20,2,4,104,2,440,42,482,,,,
GC Academy,31-Oct,,65282,4047924,20,2,4,104,2,440,42,482,,,,
GC Academy,,,65283,4047925,20,2,4,104,2,440,42,482,,,,
GC Academy,,,65284,4047926,20,2,4,104,2,440,42,482,,,,
GC Academy,,,65285,4047927,20,2,4,104,2,440,42,482,,,,
GC Academy,,,65286,4047928,20,2,4,104,2,440,42,482,,,,
GC Academy,,,65287,4047929,20,2,4,104,2,440,42,482,,,,
GC Academy,,,65288,4047930,20,2,4,104,2,440,42,482,,,,
GC Academy,,,65289,4047931,20,2,4,104,2,440,42,482,,,,
GC Academy,,,65294,4047932,20,2,6,104,2,363,42,405,,,,
GC Academy,,,65295,4047933,20,2,6,104,2,363,42,405,,,,
GC Academy,,,65296,4047934,20,2,6,104,2,363,42,405,,,,
GC Academy,,,65297,4047935,20,2,6,104,2,363,42,405,,,,
GC Academy,,,65298,4047936,20,2,6,104,2,363,42,405,,,,
GC Academy,1-Oct,,65299,4047937,20,2,6,104,2,363,42,405,,,,
GC Academy,11-Oct,,65300,4047938,20,2,6,104,2,363,42,405,,,,
GC Academy,31-Oct,,65301,4047939,20,2,6,104,2,363,42,405,,,,
GC Academy,,,65302,4047940,20,2,6,104,2,363,42,405,,,,
GC Academy,,,65303,4047941,20,2,6,104,2,363,42,405,,,,
GC Academy,27-Jan,,65304,4047942,20,2,6,104,2,363,42,405,,,,
GC Academy,,,65305,4047943,20,2,6,104,2,363,42,405,,,,
GC Academy,,,65306,4047944,20,2,6,104,2,363,42,405,,,,
GC Academy,,,65307,4047945,20,2,6,104,2,363,42,405,,,,
GC Academy,,,65308,4047946,20,2,6,104,2,363,42,405,,,,
GC Academy,,,65309,4047947,20,2,6,104,2,363,42,405,,,,
GC Academy,,,65310,4047948,20,2,6,104,2,363,42,405,,,,
GC Academy,,,65311,4047949,20,2,6,104,2,363,42,405,,,,
GC Academy,,,65312,4053667,20,2,6,104,2,363,42,405,,,,
GC Academy,,,65313,4047951,20,2,6,104,2,363,42,405,,,,
GC Academy,,,65314,4047952,20,2,6,104,2,363,42,405,,,,
GC Academy,,,65315,4047953,20,2,6,104,2,363,42,405,,,,
BRIDGE MAITLAND 6-21,,,64731,854484,20,2,4,104,2,445,42,487,,,,
BRIDGE MAITLAND 6-24,,,64732,854485,20,2,4,104,2,445,42,487,,,,
BRIDGE AUBURN bagged auburn,,,65384,859586,20,2,4,104,2,440,30,470,,,,
BRIDGE AUBURN bagged auburn,,65385,GRAYSON,859588,20,2,4,104,2,440,30,470,,,,
SOUTHERN MISS,19-Jun,,65338,43669,20,2,6,9,4,165,,,,,,
TAMPA INTL,20-Jun,,65347,76248,22,2,4,8,3,270,,,,,,
RICHMOND INTL-paper wrapped,4-Sep,,65348,31896,17,2,4,10,3,285,,,,,,
DOUBLE L,19-Jun,,65341,13403,17,2,4,10,3,265,,,,,,
DOUBLE L,,,65349,13412,17,2,4,10,3,275,,,,,,
SPARTAN,10-Sep,,65350,29985,17,2,4,10,3,280,,,,,,
DOUBLE G,20-Jun,,65351,59617,20,2,4,104,2,440,48,,,,,
DOUBLE G,20-Jun,,65352,59618,17,2,4,116,2,365,48,,,,,
BFS,20-Jun,,65357,27952091,14,2,4,12,1,345,18,363,,,,
BFS,20-Jun,,65363,27952092,17,2,4,116,2,350,18,368,,,,
BFS,26-Jun,,65364,27952093,21,2,6,104,2,365,18,383,,,,
BFS,23-Jul,,65365,27952094,21,2,6,104,2,365,18,383,,,,
BFS,,,65366,27952095,13,2,6,116,2,270,18,288,,,,
,,,,,6,2,4,104,2,380,18,398,,,,
BFS,,,65367,27952096,18,2,6,116,2P,290,16,306,,,,
tampa gray,took one back,,7681,sam1,17,2,4,116,2,370,,,,,,
tampa gray,let them have one,,7682,sam2,17,2,4,116,2,370,,,,,,
eighty four,28-Jun,,65368,1j79144,6,2,4,116,2,360,42,402,,,,
,,,,,17,2,6,104,2,370,42,412,,,,
BRIDGE,,,65369,859815,7,2,6,116,2,294,31,325,,,,
,,,,,7,2,4,116,2,369,31,400,,,,
,,,,,4,2,4,104,2,445,31,476,,,,
DOUBLE G,21-Jun,,65378,59621,20,2,4,104,2,445,48,493,,,,
DOUBLE G,,,65379,59622-1,17,2,4,116,2,370,48,418,,,,
DOUBLE G,,,65380,59622-2,9,2,4,116,2,370,48,418,,,,
,,,,,8,2,6,116,2,340,48,,,,,
DOUBLE G,,,65381,59622-3,17,2,4,116,2,370,48,418,,,,
DOUBLE G,,,65382,59623-1,14,2,4,12,2,335,48,383,,,,
DOUBLE G,,,65383,59623-2,14,2,4,12,2,335,48,383,,,,
,,,,,,,,,,,,,,,,
BOISE,21-Jun,,65373,MT64519,8,2,6,104,2,365,,,,,,
,,,,,4,2,6,116,2,270,,,,,,
,,,,,8,2,4,8,2,335,,,,,,
Tampa ,,,65374,76453,17,2,4,116,2,375,,,,,,
Tampa ,,,65375,76454,17,2,4,116,2,375,,,,,,
Tampa ,,,65376,76455,17,2,4,116,2,375,,,,,,
SPARTAN,,,65354,29986,15,2,4,8,3,275,,,,,,
,,,,,5,2,4,10,3,280,,,,,,
DOUBLE L,21-Jun,,65358,13415,22,2,4,8,3,270,,,,,,
MILLING,21-Jun,,65370,126547,18,2,6,10,3,,,,,,,
MILLING,21-Jun,,65371,126548,6,2,4,10,4,,,,,,,
,,,,,5,2,4,12,4,,,,,,,
,,,,,6,2,4,8,4,,,,,,,
SMT,,,65372,43743,17,2,4,10,3,280,,,,,,
SPARTAN,,,65355,29987,15,2,4,8,3,275,,,,,,
,,,,,5,2,4,10,3,285,,,,,,
Bridge ,,7658,65385,85988,20,2,4,104,2,437,33,470,,,,
GC,,,65318,4048087,20,2,4,104,2,447,30,477,,,,
GC,,,65319,4048088,18,2,4,104,2,447,30,477,,,,
,,,,,2,2,6,104,2,370,30,400,,,,
GC,,,65320,4048089,20,2,4,104,2,447,30,477,,,,
GC,,,65321,4048090,20,2,4,104,2,447,30,477,,,,
GC,,,65322,4048091,20,2,4,104,2,447,30,477,,,,
GC,,,65323,4048092,20,2,4,104,2,447,30,477,,,,
GC,,,65324,4048093,20,2,4,104,2,447,30,477,,,,
GC,12-Sep,,65325,4048094,20,2,4,104,2,447,30,477,,,,
BRIDGE CHARLOTTE BAGGED 7-1,,,65359,859714,10,2,6,119-1/4,2,390,60,450,,,,
,,,,,9,2,6,115-1/2,2,316,60,376,,,,
BRIDGE CHARLOTTE BAGGED 7-10,,,65360,859717,18,2,6,117,2,316,60,376,,,,
BRIDGE CHARLOTTE BAGGED 7-19,,,65361,859718,18,2,6,117,2,316,60,376,,,,
BRIDGE CHARLOTTE BAGGED 7-28,,,65362,859726,9,2,6,117,2,316,60,376,,,,
,,,,,9,2,6,115-1/2,2,316,60,376,,,,
BRIDGEWELL,21-Jun,,65369,859815,7,2,6,116-5/8,2,294,31,325,,,,
,,,,,7,2,4,116-5/8,2,369,31,400,,,,
,,,,,4,2,4,104-5/8,2,445,31,476,,,,
IDAHO OACIFIC,24-Jun,,65377,22443088,10,2,4,104-5/8,2,435,60,495,,,,
,,,,,10,2,6,104-5/8,2,355,60,415,,,,
BRIDGEWELL   P/W,24-Jun,,65384,859586,20,2,4,104-5/8,2,445,25,470,,,,
